➜  code git:(master) ✗ python one_user_userlinks_to_src_urls.py
Give me a username to go through:  questlove
getting userlinks
getting reactids
No _ovg3g  https://www.instagram.com/p/BCfyxzBwa_S/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BCbJbplQa3u/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BCa_BEWwaxm/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BCaiU8YQazO/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BCMrR1zwa0Z/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BCI8JimQa-3/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BB3RaUBwa94/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BB2M96DQa-c/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BB1PQ70waxk/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BBvm_kyQa1E/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BBvHWdhQa2w/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BBb45eDQaxn/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BBY8byHwa5P/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BBTAhlzQa8L/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BBPQ_uiwa3g/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BBO6Q8_Qa_f/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BBOiCeuQa8H/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BBNhaFtwa9e/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BBETeoTwa_-/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BA4ywXWQa64/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BA0Nn8Hwa4-/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BAyCOx0Qa8h/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BAvx-Crwa-8/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BAeTIgDQa1u/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/BAbnGSHQaw8/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_7EtsJwa-n/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_5c-5WQa7j/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_1n5lRwazu/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_0aW5Rwa9X/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_uraCkwa0m/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_l1ltmwa6P/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_lQfwywa93/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_eXdAuQa6p/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_PRcHbQa6p/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_PCRZHwa07/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_KLt1Lwa62/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/_BWGlXwa95/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-kqFkOQa-g/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-kmMB3Qa3N/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-kedT1wa4Y/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-UkRgJQa6d/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-PefWAwa9z/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-NuYx8wa2s/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-NhHzvwa2w/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-Ng41PQa2d/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-NNenywa44/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-Mj2A9wazY/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/-GVnjTQawD/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/9zEnbmwa2l/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/9iSMW7wayr/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/9fqYxBQa2o/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/9evE8pwa-i/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/8zR2V4QaxA/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/8pUrkZwa09/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/8e1v_hwa-q/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/8HRYpAwawX/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/74KD5BQa7z/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7uK2Pjwa_s/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7qNd9hQa5y/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7nbqBEwa0P/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7lQYbSQa0A/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7kocmMQa0T/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7jcxCkQa66/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7f-6A8wa4r/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7dpkPLwa5s/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7c2hbkwa97/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7L5KuTwa4V/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7GJIsvwa2o/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/7CAJziwa6G/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/68_ODVQa2e/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/68kXXAQa7I/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/66OFIHwa2k/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/659pTPQa75/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/6y1Wb1Qa9r/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/6ywvRwQa5S/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/6mP-hNwa1K/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/6F7d4fwa2H/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/6CGxDcwawP/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/6CDH_Owa8e/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/6BoASoQa28/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/5N1VSbwa0-/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/47DOGRwa0i/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/4471lvQa15/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/4nbEuTQawP/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/4QrwQkwa3Q/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/4DIwIUwa1A/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/3y7Bvmwaz5/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/3VtTmgwaxO/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/3UPwMHQa8T/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/2-eA3CQa10/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/29RdhhQaz3/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/24DSBrwa3b/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/2znDM0wa75/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/2wVbyfQawZ/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/2qcS-8Qa9W/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/2myDA-Qayg/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/2fDWgyQa0I/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/2e1Sjcwa6c/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/2coLU0wa9A/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/2UDGQYwa8V/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/2ORnpCQa57/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/18z-XhQa6A/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/16GZdFQa8S/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1zbjzvwa6G/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1uSIPzwa1O/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1tpu6Bwa7k/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1tfFnTQa6Q/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1qzyClQayY/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1qx17NQa98/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1quMprwa14/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1fNm3Lwa3k/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1cSnPwwa4E/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1Z3fOxQa5D/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1ZDh57Qa73/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1XqVqIQa-0/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/1XNLRCwa4L/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/0rf9WQQa0n/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/0ZU-5gQa85/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/0YO3tuwa9Z/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/0S5IIXwa2d/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/0NKSI8wa7i/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/0HlMOFQa4v/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/0HJSpgwa5h/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/0HI5UOwa5J/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/z-3ElfQa7Y/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/z-fli6Qawz/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/z8_yOJways/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/z8Ixdnwa9M/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/zvw_HVQa9V/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/zo5KFjwa2O/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/znuReCQa0F/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/zKQF18wa7t/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/zE9GSnQa7_/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/yxqt56wa0E/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/ytgVkxwa1M/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/yjQBCLwa7a/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/ySoKbAwaxP/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/xxi6zEwa58/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/xnQivawa0z/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/xCwdIswa_A/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/xCl2O-Qaxh/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/w9_iydQa9c/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/w99jkLQa67/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/watNamQa5J/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/v5aZTGwa8U/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/v12LKFwa1I/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/vztCSnwa-M/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/vzAer6Qa6Q/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/vw0jBKwa9X/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/vv9tDrQa1_/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/vFMffIwayI/?taken-by=questlove
No _ovg3g  https://www.instagram.com/p/u4oOObQaxb/?taken-by=questlove
Successfully found 1156 reactids among 1308 urls
getting src_urls
writing to file
Directory already exists:  questlove
20160311.13:04:1457730245  items written to  questlove_src_urls.txt
attempted username:  questlove
