➜  code git:(master) ✗ python one_user_userlinks_to_src_urls.py
Give me a username to go through:  the_jest3r
getting userlinks
getting reactids
No _ovg3g  https://www.instagram.com/p/BCt3H77vku_/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCt3FQivku0/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCt25ahvkub/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCt2w-nPkuK/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCtbrH8Pkse/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCtadTePkp_/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCtQ-0HPknO/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCtNkI_Pkva/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCtNa51vkvG/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsz1KKvknG/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCszMxPvklw/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsT4QKvkg1/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsTvgLPkgn/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsTivlvkgA/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsTcTlPkv0/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsTYCnPkvn/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsTTWTvkvf/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsTPAmvkvV/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsS3MlvkuU/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsSx4LPkt_/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCsShTWPktY/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrafg2PktN/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrWckQvklm/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrWUXmvklX/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrWRwVPklP/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrWCt_Pkk7/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrVD72PkjY/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrUwU4vkiw/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrUk05vkiY/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrUZJlPkiG/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrUMVmPkht/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrT_LDvkhP/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrTyVMPkg2/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrTYXAPkgG/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrTLkMvkvs/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrTD09Pkvj/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrS8kpvkvV/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrSxgRPkvC/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrSnr3Pkur/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrPXy_vkoV/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrPPf-PkoD/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrIx_NvkrP/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCrIuhcPkrM/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCq2NhBvksn/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCqpl8Yvkjf/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCqpUUMPki4/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCqpP4ePkiw/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCqo8ClPkiJ/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCpE4ONPkmn/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCpEnRCvkmL/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCpBzJUvkhj/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCooa35vknN/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCooIi5Pkmj/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCooAo6vkmP/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCon5TGvkmB/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BConyw0Pkl1/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BContLAPklo/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BConhx9vklW/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCokHmiPku8/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCoj6Y8vkuk/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCoba_dPkvb/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCoRjbLPkqA/?taken-by=the_jest3r
No _ovg3g  https://www.instagram.com/p/BCnn3_TvktV/?taken-by=the_jest3r
