➜  code git:(master) ✗ python one_user_userlinks_to_src_urls.py
Give me a username to go through:  victoriassecret
getting userlinks
getting reactids
No _ovg3g  https://www.instagram.com/p/BCsb5gHmlWs/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCqvrHPmlQo/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCqhSBpGlTm/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCn0IVLGlYV/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCnfYtomlQy/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BClYZ-7mlaP/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCitg3AmlXY/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCh_axoGlXQ/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCgAjlMmlUu/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCftWzzGleg/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCc_6_dGlbr/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCYR8XAmlfD/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCQgdzPGlQI/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCQJMFPGldF/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCQBiYcmlc6/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCOIVLyGlRZ/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCNsKaPmlWg/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCNjOYGGlUX/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCLhBj8GlXX/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCI1C4CGldR/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCGn8eDmlVC/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCGKk8-GlaA/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCF1KdZGlcv/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BCECDlrmlTW/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BB-0VSCGlei/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BB-KSc4GlW0/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BB9-3DCGlQI/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BB8gThlGlaK/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BB8MIi3GlS2/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BB2Zk4MGlfh/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBxjNnRmlQh/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBsbdm0Glcu/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBqGCvaGlX4/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBm22DOGlZS/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBlPoIEmlQ_/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBaLfbzmlRH/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBU0GxHmlfF/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBNRM1Umla-/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBLHgQ9mlSF/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBK67awmlUb/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBKuN69mlUs/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BBDalOFmlX6/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BAw4NXnGlSl/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BAmsZFGmlaU/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BAR8L3NGlfD/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BAPZM4lGlcq/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BALOGTCmlbU/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/BAAvNb5mlaO/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_9rmw6mlcu/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_9WzNOmlRU/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_4-GvLGlVE/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_4GrQQmlQk/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_2UAXMGlTh/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_o-hvVGlZy/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_fAAYcGlVa/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_eVuIlGlRn/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_cX609GlUX/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_U0K-XmlQG/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_UXs_8GlZu/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_FgHJoGlWP/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_Dk8JjGlbM/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_Di7CHmlXs/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/_DiyybmlXg/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/-__G8hmlbn/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/-_mEpLGldS/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/-99RZ0Gleq/?taken-by=victoriassecret
No _ovg3g  https://www.instagram.com/p/-7LnUPGlSo/?taken-by=victoriassecret
