➜  code git:(master) ✗ python one_user_userlinks_to_src_urls.py
Give me a username to go through:  zendaya
getting userlinks
getting reactids
No _ovg3g  https://www.instagram.com/p/BCdhncIpmPV/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BCQlym9pmOO/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BCQSosDJmGc/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BCLSKn7pmCW/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BCJ9sQqpmGJ/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BCJawv7pmA1/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BCJFVdwJmLY/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BCIk_NCpmKZ/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BCHMiFDJmHB/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BCCAJ3dpmDF/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BBvyLkjpmH1/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BBoB91dpmN6/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BBlGGrlpmMS/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BBTMD1bJmLk/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BBRLbM7pmFO/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BBDr-LJJmJE/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BA335gkpmPA/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/BAzwY4kpmHC/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/-BALZ6pmJ9/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/92HMiTJmHy/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/9fiUnQJmDX/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/81iIjXJmNK/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/81NDizpmI1/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/8PQ4kWpmN3/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/738iHcpmHB/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/7eBbW9pmD6/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/7WJp6NpmMt/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/7RPFlWJmAX/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/7OinWTpmN7/?taken-by=zendaya
No _ovg3g  https://www.instagram.com/p/7BTJxnpmLW/?taken-by=zendaya
